city,lat,lon,timestamp,pm2_5,pm10,no2,o3,so2,co,aqi_category
Kattumannarkoil,11.2747843,79.5525053,2025-11-24 00:00:00,5.6,6.9,6.6,53.0,5.2,208.0,Good
Udayarpalayam,11.1842716,79.2956995,2025-11-24 00:00:00,6.3,7.0,10.4,49.0,10.5,202.0,Good
Kolasib,24.2264657,92.6773489,2025-11-24 00:00:00,45.6,47.5,5.7,49.0,4.0,325.0,Satisfactory
Odela,18.4543213,79.4472776,2025-11-24 00:00:00,75.7,76.4,17.3,73.0,15.4,538.0,Moderate
Mavelikkara,9.2504893,76.5402433,2025-11-24 00:00:00,23.7,23.9,27.1,61.0,10.7,563.0,Good
Dhinoj,23.6610834,72.2783935,2025-11-24 00:00:00,24.3,25.7,24.7,55.0,7.7,454.0,Good
Singngat,24.1460781,93.5901636,2025-11-24 00:00:00,17.0,19.0,3.9,49.0,1.8,214.0,Good
Jarmundi,24.3917402,87.0581296,2025-11-24 00:00:00,102.2,109.0,11.4,93.0,17.4,431.0,Poor
Tura,25.5125616,90.2171526,2025-11-24 00:00:00,38.9,39.9,11.4,49.0,2.2,401.0,Satisfactory
Ahmadpur,18.7061242,76.9377313,2025-11-24 00:00:00,23.9,24.3,4.7,79.0,6.7,370.0,Good
Utraula,27.3176717,82.4195721,2025-11-24 00:00:00,96.9,99.2,16.1,62.0,16.6,611.0,Poor
Ranchi,23.3700501,85.3250387,2025-11-24 00:00:00,108.3,114.6,13.1,84.0,25.1,430.0,Poor
Parappanangadi,11.0482666,75.8590128,2025-11-24 00:00:00,44.9,45.2,32.1,13.0,9.2,606.0,Satisfactory
Dhanbad,23.7952809,86.4309638,2025-11-24 00:00:00,148.1,154.1,45.3,42.0,35.8,437.0,Very Poor
Kamuthi,9.4086134,78.3684318,2025-11-24 00:00:00,4.8,5.2,9.2,42.0,7.6,207.0,Good
Tiruvadanai,9.7839813,78.9172823,2025-11-24 00:00:00,4.1,4.9,7.4,48.0,3.6,215.0,Good
Ghaziabad,28.6711527,77.4120356,2025-11-24 00:00:00,158.8,161.1,36.8,53.0,32.1,1561.0,Very Poor
Roda,23.8510753,71.8892475,2025-11-24 00:00:00,17.1,18.1,14.6,58.0,6.2,356.0,Good
Nana,23.7889771,71.903703,2025-11-24 00:00:00,19.3,20.8,19.2,53.0,6.6,357.0,Good
Khimiyana,23.7641433,72.1268375,2025-11-24 00:00:00,19.3,20.8,19.2,53.0,6.6,385.0,Good
Mithivavdi,23.7624348,72.1086199,2025-11-24 00:00:00,19.3,20.8,19.2,53.0,6.6,385.0,Good
Ruppur,23.7374521,72.1060665,2025-11-24 00:00:00,19.3,20.8,19.2,53.0,6.6,356.0,Good
Bhatsan,24.1121729,72.1602947,2025-11-24 00:00:00,17.1,18.1,14.6,58.0,6.2,378.0,Good
Amarpura,24.1020922,72.1855503,2025-11-24 00:00:00,17.1,18.1,14.6,58.0,6.2,378.0,Good
Nava,24.1277604,72.1661395,2025-11-24 00:00:00,17.1,18.1,14.6,58.0,6.2,378.0,Good
Aseda,24.1572236,72.1796013,2025-11-24 00:00:00,17.1,18.1,14.6,58.0,6.2,352.0,Good
Chalvada,23.9372856,71.5894747,2025-11-24 00:00:00,20.9,22.6,13.6,58.0,6.7,385.0,Good
Maniyari,23.6048157,72.0886065,2025-11-24 00:00:00,19.3,20.8,19.2,53.0,6.6,350.0,Good
Bhogpur,31.5536751,75.6419145,2025-11-24 00:00:00,132.7,133.6,39.7,57.0,21.9,1679.0,Very Poor
Margao,15.272923,73.9583159,2025-11-24 00:00:00,23.7,24.6,13.1,67.0,4.4,665.0,Good
Shujalpur,23.3897362,76.712074,2025-11-24 00:00:00,82.9,85.7,11.5,76.0,10.7,419.0,Moderate
Sukhiapokhri,26.997366,88.1669557,2025-11-24 00:00:00,77.8,79.4,16.6,82.0,6.4,547.0,Moderate
Kadi,23.2969449,72.3306381,2025-11-24 00:00:00,30.6,32.6,26.3,60.0,10.9,544.0,Satisfactory
Bitragunta,14.760266,79.9855448,2025-11-24 00:00:00,14.1,18.9,2.3,80.0,2.0,194.0,Good
Tanduru,17.2575144,77.5874075,2025-11-24 00:00:00,22.6,23.3,8.3,61.0,6.7,436.0,Good
Kakkayam,11.550527,75.8955497,2025-11-24 00:00:00,22.4,22.6,21.7,21.0,3.7,509.0,Good
Atholi,11.3889112,75.7600406,2025-11-24 00:00:00,12.4,12.8,4.5,96.0,3.3,569.0,Good
Gollaprolu,17.1560346,82.286621,2025-11-24 00:00:00,34.3,36.8,6.9,86.0,7.2,466.0,Satisfactory
Toranmal,21.8811735,74.4634002,2025-11-24 00:00:00,50.9,51.5,16.5,94.0,14.3,348.0,Satisfactory
Malerkotla,30.533129,75.8807604,2025-11-24 00:00:00,133.2,134.6,27.8,73.0,21.0,1207.0,Very Poor
Dera Baba Nanak,32.0317917,75.0284641,2025-11-24 00:00:00,158.3,159.3,42.1,54.0,30.2,1721.0,Very Poor
Balachaur,31.0634777,76.2959789,2025-11-24 00:00:00,113.6,115.3,59.9,15.0,16.5,1012.0,Poor
Budhlada,29.9255593,75.549854,2025-11-24 00:00:00,153.2,156.0,42.6,50.0,25.8,987.0,Very Poor
Murbad,19.257118,73.3907493,2025-11-24 00:00:00,73.3,73.8,38.0,73.0,29.3,531.0,Moderate
Karungal,8.2379238,77.2413556,2025-11-24 00:00:00,4.4,4.4,7.1,52.0,2.5,312.0,Good
Kottiyam,8.8660329,76.6709479,2025-11-24 00:00:00,13.9,14.0,16.1,28.0,4.6,305.0,Good
Cheeka,30.048095,76.3338623,2025-11-24 00:00:00,139.2,141.6,34.8,56.0,18.3,979.0,Very Poor
Momasar,28.2110103,74.2883345,2025-11-24 00:00:00,78.9,81.0,10.0,84.0,13.5,558.0,Moderate
Kalayat,29.6765655,76.2549608,2025-11-24 00:00:00,140.2,143.0,38.8,56.0,20.6,1089.0,Very Poor
Bhusawal,21.04572,75.7808079,2025-11-24 00:00:00,46.3,46.7,24.2,52.0,18.3,423.0,Satisfactory
Kaul,29.846011,76.6607522,2025-11-24 00:00:00,119.7,121.1,34.4,50.0,18.8,1200.0,Poor
Taraori,29.800459,76.9273776,2025-11-24 00:00:00,119.7,121.1,34.4,50.0,18.8,1342.0,Poor
Chimthane,21.1838315,74.6939829,2025-11-24 00:00:00,54.8,55.4,29.4,48.0,12.8,481.0,Satisfactory
Kapadne,21.0323162,74.8090851,2025-11-24 00:00:00,54.8,55.4,29.4,48.0,12.8,757.0,Satisfactory
Khadoli,20.1639614,73.0309208,2025-11-24 00:00:00,60.8,61.0,21.3,63.0,21.2,929.0,Moderate
Panamaram,11.7390969,76.0731104,2025-11-24 00:00:00,22.4,22.6,21.7,21.0,3.7,371.0,Good
Kozhencherry,9.3369731,76.7064286,2025-11-24 00:00:00,32.0,32.4,42.9,6.0,10.1,737.0,Satisfactory
Buguda,19.812946,84.789743,2025-11-24 00:00:00,50.8,52.2,12.0,60.0,5.7,483.0,Satisfactory
Polasara,19.6975467,84.8173606,2025-11-24 00:00:00,68.7,70.5,18.8,51.0,8.7,564.0,Moderate
Valanchery,10.8878197,76.0732252,2025-11-24 00:00:00,22.4,22.6,13.8,69.0,7.9,516.0,Good
Badhni Kalan,30.6802082,75.2903773,2025-11-24 00:00:00,138.3,140.2,32.2,77.0,26.7,998.0,Very Poor
Buttar,30.7246335,75.2748498,2025-11-24 00:00:00,138.3,140.2,32.2,77.0,26.7,998.0,Very Poor
Koorachundu,11.539723,75.8447481,2025-11-24 00:00:00,22.4,22.6,21.7,21.0,3.7,644.0,Good
Chakkittapara,11.5754712,75.8164922,2025-11-24 00:00:00,22.4,22.6,21.7,21.0,3.7,719.0,Good
Amrapur,19.2821823,75.1817381,2025-11-24 00:00:00,20.7,21.2,3.6,80.0,4.8,389.0,Good
Bhagur,19.320631,75.1998205,2025-11-24 00:00:00,20.7,21.2,3.6,80.0,4.8,389.0,Good
Yelagiri,12.589316,78.6323577,2025-11-24 00:00:00,9.8,10.4,9.5,46.0,4.7,241.0,Good
Parasia,22.1917761,78.7599413,2025-11-24 00:00:00,59.4,62.2,10.4,58.0,8.0,388.0,Satisfactory
Khetia,21.6705476,74.5859189,2025-11-24 00:00:00,68.7,69.2,30.3,67.0,17.0,369.0,Moderate
Paranda,18.2683477,75.4507536,2025-11-24 00:00:00,17.6,18.0,4.8,83.0,6.5,338.0,Good
Pachora,20.667858,75.3505158,2025-11-24 00:00:00,49.4,50.1,22.8,51.0,20.0,473.0,Satisfactory
Badampahar,22.0888707,86.111023,2025-11-24 00:00:00,87.1,88.9,12.3,76.0,37.2,466.0,Moderate
Gorumahisani,22.3364066,86.2722643,2025-11-24 00:00:00,129.0,132.2,22.1,104.0,79.0,522.0,Very Poor
Rehli,23.6368925,79.0643258,2025-11-24 00:00:00,73.6,78.5,6.4,75.0,7.4,431.0,Moderate
Belonia,23.2497879,91.4550309,2025-11-24 00:00:00,43.5,44.5,12.1,59.0,3.3,466.0,Satisfactory
Berasia,23.6296245,77.4326015,2025-11-24 00:00:00,68.7,71.9,9.5,71.0,6.6,411.0,Moderate
Kumbhraj,24.3715727,77.0529175,2025-11-24 00:00:00,60.8,63.8,7.0,87.0,8.3,396.0,Moderate
Morshi,21.3416664,78.0140337,2025-11-24 00:00:00,52.3,52.7,14.2,83.0,10.3,499.0,Satisfactory
Dashghara,22.9727956,88.0276104,2025-11-24 00:00:00,241.2,244.9,102.8,12.0,76.7,1304.0,Very Poor
Nagod,24.5705157,80.5867584,2025-11-24 00:00:00,78.9,85.0,11.3,73.0,8.3,485.0,Moderate
Chirimiri,23.1915245,82.3532182,2025-11-24 00:00:00,89.2,95.0,25.2,39.0,28.3,395.0,Moderate
Mullanpur Dakha,30.8435194,75.6722807,2025-11-24 00:00:00,129.9,131.3,27.7,84.0,25.9,946.0,Very Poor
Bhawnathpur,24.3909585,83.5836985,2025-11-24 00:00:00,131.8,140.2,22.5,49.0,15.6,620.0,Very Poor
Peesangan,26.3969115,74.3823651,2025-11-24 00:00:00,51.0,53.4,9.1,97.0,13.8,447.0,Satisfactory
Mungeli,22.0661098,81.6874282,2025-11-24 00:00:00,90.6,92.7,16.1,66.0,13.8,676.0,Poor
Boroonda,26.4705174,73.8009898,2025-11-24 00:00:00,57.6,59.6,14.9,71.0,14.1,451.0,Satisfactory
Bhiwapur,20.7638074,79.5198922,2025-11-24 00:00:00,57.0,58.9,13.3,60.0,8.8,554.0,Satisfactory
Balod,20.7272006,81.2054198,2025-11-24 00:00:00,64.5,65.4,16.7,75.0,12.5,585.0,Moderate
Antagarh,20.0989713,81.158073,2025-11-24 00:00:00,28.7,29.3,11.5,56.0,6.6,315.0,Good
